model,model_family,test_mae,test_rmse,test_r2,adjusted_r2,training_r2,testing_r2,train_test_r2_gap,train_rmse,cross_validation_rmse,residual_mean,residual_std,max_absolute_error,worst_hour,worst_hour_mae,worst_season,worst_season_mae,worst_holiday_group,worst_holiday_group_mae,worst_functioning_day_group,worst_functioning_day_group_mae,top_feature,interpretability,training_tuning_complexity,streamlit_deployment_suitability,fit_time_seconds,best_parameters,rank_by_rmse
Random Forest Regressor,Bagging ensemble,99.98970900174419,177.19743822455027,0.924638868009374,0.9239438950342443,0.9844501237880569,0.924638868009374,0.05981125577868285,80.40978471185824,173.63569459613078,2.506680931968103,177.23029389926953,2187.2379861111112,8,270.8429394701956,Spring,137.765697297508,Holiday,146.42024285639133,Yes,100.90689632824706,num__temperature_c,"Medium: feature importance helps, but individual predictions are less transparent.",Medium-high: several parameters affect speed and generalisation.,High: reliable and still quick enough for single-user prototype prediction.,5.341875300000538,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 120}",1
Gradient Boosting Regressor,Boosting ensemble,128.59841508831659,202.73278494160235,0.9013537664080876,0.9004440605075282,0.9228171354046939,0.9013537664080876,0.02146336899660628,179.14548942675526,198.02679165835448,1.5363004567002079,202.78484449567065,1861.1588755795933,8,352.80114625790327,Autumn,156.9140777206737,Holiday,133.059984673488,Yes,131.1892950930536,num__temperature_c,"Medium: feature importance helps, but boosted interactions are harder to explain.","High: learning rate, depth, and number of trees must be balanced.",High: compact model with strong tabular prediction performance.,10.393113500002073,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 250}",2
Decision Tree Regressor,Single tree,137.90594218851925,242.58180329645106,0.8587628401153654,0.8574603648657089,0.9601716996530807,0.8587628401153654,0.10140885953771528,128.68896797414925,232.85859872241957,2.579645711024137,242.63734246927095,2546.0,8,380.8994821912505,Spring,181.16816378066378,Holiday,176.72448412698412,Yes,138.97369989318042,num__hour,Medium-high: tree rules and feature importance are explainable.,Medium: depth and leaf-size choices strongly affect overfitting.,"High: fast prediction, but can be less stable than ensemble models.",5.337429699997301,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}",3
Multiple Linear Regression,Linear baseline,310.992842002613,427.22634108233365,0.5619248897614559,0.5578850040186221,0.5575732924872363,0.5619248897614559,-0.004351597274219632,428.90992815269544,430.02190430503435,-9.885038753998034,427.23391208725303,2277.1810189914386,8,727.2153225308926,Summer,430.01825311308494,No Holiday,311.7788438326085,Yes,317.28674813153117,cat__functioning_day_Yes,High: coefficients show direction and relative strength after preprocessing.,Low: no major hyperparameters were tuned.,High: fast prediction and easy explanation.,0.059813799991388805,{},4
