model,model_family,test_mae,test_rmse,test_r2,adjusted_r2,training_r2,testing_r2,train_test_r2_gap,train_rmse,cross_validation_rmse,residual_mean,residual_std,max_absolute_error,worst_hour,worst_hour_mae,worst_season,worst_season_mae,worst_holiday_group,worst_holiday_group_mae,worst_functioning_day_group,worst_functioning_day_group_mae,top_feature,interpretability,training_tuning_complexity,streamlit_deployment_suitability,fit_time_seconds,best_parameters,rank_by_rmse
Random Forest Regressor,Bagging ensemble,102.91205958001001,181.46120111802608,0.9196462603528143,0.9191538590374734,0.9836812943049806,0.9196462603528143,0.06403503395216636,82.65099276206472,180.63854047387113,-3.9203079096653153,181.45337516968178,2179.889176587301,8,259.38557059480183,Spring,143.33296642171837,Holiday,132.55523912863754,Yes,104.40426532776365,num__temperature_c,"Medium: feature importance helps, but individual predictions are less transparent.",Medium-high: several parameters affect speed and generalisation.,High: reliable and still quick enough for single-user prototype prediction.,4.9013063999591395,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 120}",1
Gradient Boosting Regressor,Boosting ensemble,128.06733459481154,202.68201632590302,0.8997535589295287,0.8991392567245775,0.9256788676049585,0.8997535589295287,0.02592530867542986,176.38488997390502,202.08615944188745,-0.962711524122512,202.71830254072802,1890.1075921172182,8,328.24008906831676,Summer,157.8855545133081,Holiday,137.14176567189477,Yes,130.66145059319595,num__temperature_c,"Medium: feature importance helps, but boosted interactions are harder to explain.","High: learning rate, depth, and number of trees must be balanced.",High: compact model with strong tabular prediction performance.,9.885868499986827,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 250}",2
Decision Tree Regressor,Single tree,138.1931993962427,241.53359481256223,0.8576381505386437,0.8567657684661114,0.9384623133965428,0.8576381505386437,0.08082416285789917,160.500282919673,242.03558906907682,-4.233116209563312,241.54245711903224,2170.6666666666665,8,324.00726927939314,Spring,178.43119057280487,Holiday,149.3916703456474,Yes,141.43994697451157,num__hour,Medium-high: tree rules and feature importance are explainable.,Medium: depth and leaf-size choices strongly affect overfitting.,"High: fast prediction, but can be less stable than ensemble models.",4.085546999995131,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 5}",3
Multiple Linear Regression,Linear baseline,306.4544237020179,421.0509511678739,0.5673787610873192,0.5647276925991527,0.5591216062761096,0.5673787610873192,-0.008257154811209588,429.6003507729977,431.2390315651379,-14.000796652063778,420.8981965534232,2272.1443825463757,18,692.7260002845937,Summer,421.29102220721404,No Holiday,307.11425274097763,Yes,312.64405117906813,cat__functioning_day_No,High: coefficients show direction and relative strength after preprocessing.,Low: no major hyperparameters were tuned.,High: fast prediction and easy explanation.,0.26448399998480454,{},4
